time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.CartesianPose.header.seq,.CartesianPose.header.stamp.secs,.CartesianPose.header.stamp.nsecs,.CartesianPose.header.frame_id,.CartesianPose.pose.position.x,.CartesianPose.pose.position.y,.CartesianPose.pose.position.z,.CartesianPose.pose.orientation.x,.CartesianPose.pose.orientation.y,.CartesianPose.pose.orientation.z,.CartesianPose.pose.orientation.w,.CartesianWrench.header.seq,.CartesianWrench.header.stamp.secs,.CartesianWrench.header.stamp.nsecs,.CartesianWrench.header.frame_id,.CartesianWrench.wrench.force.x,.CartesianWrench.wrench.force.y,.CartesianWrench.wrench.force.z,.CartesianWrench.wrench.torque.x,.CartesianWrench.wrench.torque.y,.CartesianWrench.wrench.torque.z,.JointPosition.header.seq,.JointPosition.header.stamp.secs,.JointPosition.header.stamp.nsecs,.JointPosition.header.frame_id,.JointPosition.position.a1,.JointPosition.position.a2,.JointPosition.position.a3,.JointPosition.position.a4,.JointPosition.position.a5,.JointPosition.position.a6,.JointPosition.position.a7,.tag
2018/01/25/10:47:34.471524,8327,1516841020,145000000,iiwa_link_0,46717,1516841020,145000000,iiwa_link_0,0.499992817027,-0.300001118299,0.500055500489,-4.02357478489e-05,1.0,-2.44562576483e-05,9.08528927701e-06,46717,1516841020,138000000,Flange of LBR_iiwa_7_R800_1,0.335797492892,0.358354211829,1.31488206976,0.227115857963,-0.281776429301,0.143184888255,46718,1516841020,144000000,,-0.540456414223,0.481767684221,5.8662808442e-05,-1.19526672363,-6.02087966399e-05,1.46451735497,-0.540478348732,0
2018/01/25/10:47:34.481650,8328,1516841020,152000000,iiwa_link_0,46718,1516841020,152000000,iiwa_link_0,0.499992833595,-0.300001022755,0.500055428985,-4.01922375374e-05,1.0,-2.4316413467e-05,9.06437969276e-06,46718,1516841020,145000000,Flange of LBR_iiwa_7_R800_1,0.329140412034,0.356368921328,1.32266502985,0.227463130792,-0.280711888908,0.143116922865,46719,1516841020,151000000,,-0.540456295013,0.481767684221,5.8662808442e-05,-1.19526672363,-5.99211671215e-05,1.46451735497,-0.540478348732,0
2018/01/25/10:47:34.491481,8329,1516841020,162000000,iiwa_link_0,46719,1516841020,162000000,iiwa_link_0,0.499992787058,-0.300001100316,0.500055428986,-4.02357517568e-05,1.0,-2.44100105368e-05,9.00821515598e-06,46720,1516841020,163000000,Flange of LBR_iiwa_7_R800_1,0.322582078078,0.350302649173,1.32429602531,0.226755820812,-0.27832285302,0.143214454898,46721,1516841020,168000000,,-0.540456414223,0.481767684221,5.86028108955e-05,-1.19526684284,-6.01128049311e-05,1.46451747417,-0.540478527546,0
2018/01/25/10:47:34.501414,8330,1516841020,176000000,iiwa_link_0,46721,1516841020,176000000,iiwa_link_0,0.499992775438,-0.300001076457,0.500055476667,-4.01407810621e-05,1.0,-2.43229137738e-05,8.95565366989e-06,46721,1516841020,169000000,Flange of LBR_iiwa_7_R800_1,0.31730061717,0.352857840159,1.31767914103,0.226473123402,-0.278095191221,0.143515666782,46722,1516841020,175000000,,-0.540456295013,0.481767833233,5.87226932112e-05,-1.19526696205,-6.01128049311e-05,1.46451723576,-0.540478527546,0
2018/01/25/10:47:34.511664,8331,1516841020,183000000,iiwa_link_0,46722,1516841020,183000000,iiwa_link_0,0.499992871073,-0.300001021408,0.500055546572,-4.03171443814e-05,1.0,-2.44651944801e-05,9.21973679302e-06,46723,1516841020,183000000,Flange of LBR_iiwa_7_R800_1,0.324076666424,0.351884923098,1.31689173123,0.225965163493,-0.278776713184,0.143583811553,46723,1516841020,182000000,,-0.540456414223,0.481767833233,5.8662808442e-05,-1.19526672363,-6.01128049311e-05,1.46451735497,-0.540478348732,0
2018/01/25/10:47:34.521364,8332,1516841020,197000000,iiwa_link_0,46724,1516841020,197000000,iiwa_link_0,0.499992843008,-0.300001052368,0.500055476669,-4.0295690302e-05,1.0,-2.44408507557e-05,9.05961495776e-06,46724,1516841020,190000000,Flange of LBR_iiwa_7_R800_1,0.329065593065,0.354249911228,1.31851957194,0.225447625278,-0.280716574833,0.143322716516,46725,1516841020,196000000,,-0.540456295013,0.481767833233,5.86028108955e-05,-1.19526672363,-6.01128049311e-05,1.46451735497,-0.540478169918,0
2018/01/25/10:47:34.531329,8333,1516841020,204000000,iiwa_link_0,46725,1516841020,204000000,iiwa_link_0,0.499992752376,-0.300001079509,0.500055476667,-4.02357457338e-05,1.0,-2.4332951872e-05,8.8797887782e-06,46725,1516841020,197000000,Flange of LBR_iiwa_7_R800_1,0.328609615556,0.354927188044,1.3123177648,0.227170127163,-0.280480366723,0.143241218506,46726,1516841020,203000000,,-0.540456295013,0.481767684221,5.86028108955e-05,-1.19526672363,-5.99211671215e-05,1.46451747417,-0.540478348732,0
2018/01/25/10:47:34.541331,8334,1516841020,219000000,iiwa_link_0,46727,1516841020,219000000,iiwa_link_0,0.499992784948,-0.300001099052,0.50005557039,-4.02357458951e-05,1.0,-2.44562606478e-05,9.08528747699e-06,46727,1516841020,212000000,Flange of LBR_iiwa_7_R800_1,0.335483403932,0.35524693432,1.31296501288,0.226174686364,-0.281530809419,0.143372637025,46728,1516841020,218000000,,-0.540456295013,0.481767833233,5.86028108955e-05,-1.19526672363,-6.01128049311e-05,1.46451747417,-0.540478527546,0
2018/01/25/10:47:34.551335,8335,1516841020,226000000,iiwa_link_0,46728,1516841020,226000000,iiwa_link_0,0.499992776206,-0.300001090992,0.500055546569,-4.01990016856e-05,1.0,-2.437107329e-05,9.10148082703e-06,46728,1516841020,219000000,Flange of LBR_iiwa_7_R800_1,0.349386629551,0.356643405932,1.31885848864,0.225414630642,-0.281967019865,0.14345375724,46729,1516841020,224000000,,-0.540456414223,0.481767684221,5.85429261264e-05,-1.19526672363,-5.99211671215e-05,1.46451771259,-0.540478348732,0
2018/01/25/10:47:34.561334,8336,1516841020,239000000,iiwa_link_0,46730,1516841020,239000000,iiwa_link_0,0.499992765991,-0.300001118641,0.500055394065,-4.01192836863e-05,1.0,-2.43756799376e-05,8.92399108117e-06,46730,1516841020,233000000,Flange of LBR_iiwa_7_R800_1,0.349852837529,0.343044771064,1.32437132753,0.224813606003,-0.281893152571,0.143325353471,46731,1516841020,238000000,,-0.540456473827,0.481767833233,5.8662808442e-05,-1.19526672363,-6.01128049311e-05,1.46451747417,-0.540478348732,0
2018/01/25/10:47:34.571335,8337,1516841020,249000000,iiwa_link_0,46731,1516841020,249000000,iiwa_link_0,0.499992851227,-0.3000010573,0.50005544175,-4.0205806334e-05,1.0,-2.44254422608e-05,9.03394216904e-06,46731,1516841020,240000000,Flange of LBR_iiwa_7_R800_1,0.33848914925,0.345398322163,1.31688448523,0.226355166031,-0.279937279043,0.143324360065,46732,1516841020,248000000,,-0.540456295013,0.481767833233,5.8662808442e-05,-1.19526672363,-6.01128049311e-05,1.46451747417,-0.540478348732,0
2018/01/25/10:47:34.581350,8338,1516841020,256000000,iiwa_link_0,46732,1516841020,256000000,iiwa_link_0,0.499992852441,-0.300000966752,0.500055441748,-4.02691052223e-05,1.0,-2.43602727476e-05,8.89831865078e-06,46732,1516841020,249000000,Flange of LBR_iiwa_7_R800_1,0.323153919729,0.335612072518,1.3229899736,0.225033171096,-0.279178129432,0.143470409278,46733,1516841020,255000000,,-0.540456175804,0.481767833233,5.86028108955e-05,-1.19526672363,-6.01128049311e-05,1.46451747417,-0.540478348732,0
2018/01/25/10:47:34.591531,8339,1516841020,263000000,iiwa_link_0,46733,1516841020,263000000,iiwa_link_0,0.499992792555,-0.300001036169,0.500055498887,-4.01741426638e-05,1.0,-2.43965150846e-05,9.0512978552e-06,46734,1516841020,263000000,Flange of LBR_iiwa_7_R800_1,0.313717215276,0.337295881681,1.31659564213,0.223849192825,-0.276307869594,0.143182320495,46735,1516841020,269000000,,-0.540456414223,0.481767833233,5.86028108955e-05,-1.19526684284,-6.01128049311e-05,1.46451735497,-0.540478348732,0
2018/01/25/10:47:34.601353,8340,1516841020,277000000,iiwa_link_0,46735,1516841020,277000000,iiwa_link_0,0.499992856644,-0.300001029642,0.50005547667,-4.02323406378e-05,1.0,-2.44289532861e-05,9.06675689805e-06,46735,1516841020,270000000,Flange of LBR_iiwa_7_R800_1,0.305983764437,0.337148179043,1.32180453013,0.224496379158,-0.276159128618,0.143424003377,46736,1516841020,276000000,,-0.540456175804,0.481767892838,5.86028108955e-05,-1.19526672363,-6.01128049311e-05,1.46451747417,-0.540478527546,0
2018/01/25/10:47:34.611318,8341,1516841020,284000000,iiwa_link_0,46736,1516841020,284000000,iiwa_link_0,0.499992801188,-0.30000104135,0.500055428984,-4.01741431508e-05,1.0,-2.43502374146e-05,8.97417846325e-06,46736,1516841020,277000000,Flange of LBR_iiwa_7_R800_1,0.302905643901,0.334181747866,1.32109183306,0.222369222586,-0.276181419598,0.14344162122,46737,1516841020,283000000,,-0.540456295013,0.481767892838,5.8662808442e-05,-1.19526684284,-6.01128049311e-05,1.46451747417,-0.540478348732,0
2018/01/25/10:47:34.621264,8342,1516841020,298000000,iiwa_link_0,46738,1516841020,298000000,iiwa_link_0,0.499992794864,-0.300001104999,0.500055428986,-4.02956388545e-05,1.0,-2.44254172636e-05,9.03388957559e-06,46738,1516841020,291000000,Flange of LBR_iiwa_7_R800_1,0.315995315853,0.338506834732,1.3212725034,0.223487347964,-0.278335860732,0.143315843891,46739,1516841020,297000000,,-0.540456354618,0.481767833233,5.8662808442e-05,-1.19526696205,-6.01128049311e-05,1.46451747417,-0.540478646755,0
2018/01/25/10:47:34.631238,8343,1516841020,305000000,iiwa_link_0,46739,1516841020,305000000,iiwa_link_0,0.499992792889,-0.300001072907,0.500055428986,-4.01724016059e-05,1.0,-2.43827068907e-05,8.989681209e-06,46739,1516841020,298000000,Flange of LBR_iiwa_7_R800_1,0.313101948168,0.336954767711,1.31851998885,0.224880905508,-0.279108614198,0.143529752107,46740,1516841020,304000000,,-0.540456295013,0.481767892838,5.8662808442e-05,-1.19526684284,-6.01128049311e-05,1.46451747417,-0.540478527546,0
2018/01/25/10:47:34.641349,8344,1516841020,312000000,iiwa_link_0,46740,1516841020,312000000,iiwa_link_0,0.499992837153,-0.300001079819,0.500055476669,-4.01792232097e-05,1.0,-2.44681744491e-05,9.07814029053e-06,46741,1516841020,312000000,Flange of LBR_iiwa_7_R800_1,0.332392775822,0.362010588577,1.31837604886,0.226199089914,-0.282485701056,0.143532460036,46742,1516841020,317000000,,-0.540456295013,0.481767684221,5.86028108955e-05,-1.19526660442,-6.01128049311e-05,1.46451735497,-0.540478527546,0
2018/01/25/10:47:34.651242,8345,1516841020,325000000,iiwa_link_0,46742,1516841020,325000000,iiwa_link_0,0.499992841457,-0.300001017658,0.50005554657,-4.01956424781e-05,1.0,-2.438999403e-05,9.16003576078e-06,46742,1516841020,319000000,Flange of LBR_iiwa_7_R800_1,0.351518075181,0.364609300566,1.32003454997,0.227417489672,-0.284653661543,0.143936201119,46743,1516841020,324000000,,-0.540456295013,0.481767684221,5.8662808442e-05,-1.19526672363,-6.01128049311e-05,1.46451735497,-0.540478527546,0
2018/01/25/10:47:34.661335,8346,1516841020,335000000,iiwa_link_0,46743,1516841020,335000000,iiwa_link_0,0.499992707784,-0.300001114624,0.500055616471,-4.00927423758e-05,1.0,-2.44492652667e-05,9.01964371996e-06,46743,1516841020,325000000,Flange of LBR_iiwa_7_R800_1,0.37046524192,0.376357234419,1.31661491086,0.22863122548,-0.28920601861,0.14391340319,46744,1516841020,334000000,,-0.540456295013,0.481767624617,5.87226932112e-05,-1.19526672363,-6.01128049311e-05,1.46451735497,-0.540478348732,0
