zhat,log,k_0,k_1,k_2,k_3,k_4
2.0,24.438038398783867,2.5598597640334108e-11,0.0,0.9999999973476947,1.7958234430055239e-09,8.308849201943902e-10
2.0,25.420131476078172,1.6190457571941764e-12,0.0,0.9999999995383602,9.827515218385508e-11,3.6174729510419964e-10
2.0,25.420131989354076,1.6190069575416937e-12,0.0,0.9999999995383794,9.825624196377632e-11,3.617467870779191e-10
2.0,24.45006090864576,7.466724438527627e-12,0.0,0.9999999990086018,2.2153884954322522e-10,7.623940072839822e-10
2.0,20.805305933813894,6.095944772845877e-10,0.0,0.999999981147838,6.891905790610817e-09,1.1350663165646751e-08
2.0,18.939176095270433,8.429708323550717e-10,0.0,0.9999999837430487,5.737633201386896e-09,9.676348690783099e-09
2.0,20.50229960817504,8.702984814279902e-11,0.0,0.9999999799987133,4.127628038225324e-09,1.578663016484083e-08
2.0,20.98626889296604,7.467612734259374e-11,0.0,0.999999979793454,4.492467264087328e-09,1.563940395635415e-08
2.0,19.74015953841702,6.084973364716647e-12,0.0,0.9999999161888288,1.8280844696582245e-09,8.197700311144037e-08
2.0,19.74015298722908,6.084811618354924e-12,0.0,0.9999999160086434,1.8283711153983895e-09,8.215690192975809e-08
2.0,18.71245318777075,1.1308397241390032e-11,0.0,0.9999998126268406,4.566568290335757e-09,1.827952839397195e-07
2.0,23.764108656538177,2.8367506505963766e-12,0.0,0.9999999992133077,1.8992229548505578e-10,5.939346314659086e-10
2.0,23.015692068147857,1.6536078295402799e-12,0.0,0.9999999951099033,5.470180865227282e-10,4.341426253219668e-09
2.0,23.01569156636405,1.6535979606230003e-12,0.0,0.9999999951095645,5.470326716954604e-10,4.341750618506342e-09
2.0,22.56760958266235,8.469110063394849e-13,0.0,0.9999999933528174,3.5277704598290064e-10,6.293559847817782e-09
2.0,22.567609416466205,8.469235877910073e-13,0.0,0.9999999933524336,3.5278803228535067e-10,6.29393264387974e-09
2.0,21.48629467067977,6.5841775131500506e-12,0.0,0.9999999904191851,7.686488284958114e-10,8.80558312601673e-09
2.0,19.679185960265666,2.454018837863995e-10,0.0,0.9999999907680605,4.366899563945607e-09,4.619639446365968e-09
2.0,19.67918514913312,2.453795036593125e-10,0.0,0.9999999907689079,4.366550768480601e-09,4.619162954277891e-09
2.0,25.990907725442426,9.054056497360713e-13,0.0,0.999999998497079,1.3953929612974038e-10,1.3624774707504722e-09
2.0,24.93570622909177,7.081481921366327e-13,0.0,0.9999999960479221,1.985837830694986e-10,3.75278700984423e-09
2.0,24.63420658827734,6.300661881805497e-13,0.0,0.9999999961884075,1.9515880102952722e-10,3.6158046068514804e-09
2.0,25.197818360213812,7.061936492653163e-13,0.0,0.9999999991960471,1.235649552908078e-10,6.796825230237804e-10
2.0,24.647720150228835,6.496793457425087e-13,0.0,0.9999999991523292,1.3388372705880974e-10,7.131378112931837e-10
2.0,25.8814816338643,3.9161545326767484e-12,0.0,0.9999999995258313,1.6296745600917254e-10,3.0728555509513485e-10
2.0,25.456782900621164,4.658628902844452e-12,0.0,0.9999999993687904,2.1405889906483212e-10,4.124922751489944e-10
2.0,24.904162149644506,7.847814670947162e-12,0.0,0.9999999987111247,4.2564186726961147e-10,8.553858145122844e-10
2.0,25.176587243925216,1.5393724478776128e-12,0.0,0.9999999977823786,2.751446810164565e-10,1.940937410966483e-09
2.0,25.388547864468983,1.322343928673569e-12,0.0,0.999999998633445,1.5917929673415931e-10,1.206053421724346e-09
2.0,25.388547975046492,1.3223552460716214e-12,0.0,0.9999999986332987,1.5918572209965357e-10,1.2061933301905856e-09
2.0,21.948506799527294,1.19480970116949e-12,0.0,0.9999999886929847,5.846094458530831e-10,1.0721211149091053e-08
2.0,23.16220466709962,8.187538684445317e-12,0.0,0.9999999979743593,8.154239304881131e-10,1.2020292948171802e-09
2.0,24.932190713420244,1.2040919358056814e-11,0.0,0.9999999978844221,6.84485474200868e-10,1.4190516063551202e-09
2.0,25.966029861489936,2.150667723313704e-12,0.0,0.9999999991775014,1.7604363796485484e-10,6.443043304866873e-10
2.0,22.634253290559688,3.287976430682984e-12,0.0,0.9999999808925708,7.901321817857891e-10,1.8314009151609468e-08
2.0,22.63425118149232,3.2880138536981125e-12,0.0,0.9999999808920427,7.901903225027817e-10,1.8314479341743445e-08
2.0,24.176756508266198,1.338323949367862e-11,0.0,0.9999999967844806,5.986602661875226e-10,2.603476308870801e-09
2.0,23.76063792877094,1.634275760464317e-11,0.0,0.999999997896537,7.06686983252067e-10,1.3804334942100966e-09
2.0,23.760638032465636,1.6343310650274186e-11,0.0,0.9999999978960702,7.068298715359497e-10,1.3807568375180875e-09
2.0,21.70031885348166,1.4041728831758017e-11,0.0,0.999999977530471,2.213901888086458e-09,2.0241585491808032e-08
2.0,21.286328265302885,5.774949530426045e-11,0.0,0.9999999809362359,2.692166694708023e-09,1.6313847870885554e-08
2.0,22.498486813635242,4.449190027836629e-11,0.0,0.9999999834450386,2.0802682875087023e-09,1.4430201234699767e-08
